Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,.395,1.1,2.9,.380,0.4,0.9,.443,.540,0.5,0.6,.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7
Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,.629,0.0,0.0,.000,5.9,9.3,.631,.629,2.1,3.8,.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9
Bam Adebayo,C,20,MIA,69,19,19.8,2.5,4.9,.512,0.0,0.1,.000,2.5,4.8,.523,.512,1.9,2.6,.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9
Arron Afflalo,SG,32,ORL,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,0.7,1.7,.413,.485,0.4,0.5,.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4
Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333,.333,0.1,0.3,.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6
LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,8.8,16.7,.526,.520,4.5,5.3,.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1
Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,.444,0.0,0.0,,0.4,0.8,.444,.444,0.5,0.5,.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2
Ryan Arcidiacono,PG,23,CHI,24,0,12.7,0.7,1.7,.415,0.4,1.3,.290,0.3,0.4,.800,.524,0.2,0.3,.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0
Jamel Artis,SG,25,ORL,15,1,18.6,2.1,5.3,.392,0.5,1.9,.276,1.5,3.3,.460,.443,0.5,0.8,.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1
Ömer Aşık,C,31,TOT,18,0,10.1,0.5,1.2,.409,0.0,0.0,,0.5,1.2,.409,.409,0.2,0.7,.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2
Ömer Aşık,C,31,NOP,14,0,8.6,0.5,1.1,.438,0.0,0.0,,0.5,1.1,.438,.438,0.3,0.9,.333,0.5,2.1,2.6,0.1,0.1,0.1,0.4,1.0,1.3
Ömer Aşık,C,31,CHI,4,0,15.3,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.3,.000,0.5,2.0,2.5,0.3,0.3,0.5,1.0,1.5,1.0
D.J. Augustin,PG,30,ORL,75,36,23.5,3.3,7.2,.452,1.5,3.6,.419,1.7,3.6,.485,.557,2.2,2.5,.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2
Dwayne Bacon,SG,22,CHO,53,6,13.5,1.4,3.6,.375,0.2,0.8,.256,1.2,2.8,.409,.404,0.4,0.5,.800,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3
Ron Baker,SG,24,NYK,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346,.432,0.7,0.9,.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
Wade Baldwin,PG,21,POR,7,0,11.4,2.0,3.0,.667,0.6,0.7,.800,1.4,2.3,.625,.762,0.9,1.4,.600,0.1,1.0,1.1,0.7,0.3,0.1,0.6,1.7,5.4
Lonzo Ball,PG,20,LAL,52,50,34.2,3.9,10.8,.360,1.7,5.7,.305,2.2,5.2,.420,.440,0.6,1.4,.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2
J.J. Barea,PG,33,DAL,69,10,23.2,4.4,10.0,.439,1.7,4.5,.367,2.7,5.5,.499,.522,1.2,1.5,.784,0.2,2.7,2.9,6.3,0.5,0.0,2.1,1.2,11.6
Will Barton,SG,27,DEN,81,40,33.1,5.7,12.7,.452,1.9,5.2,.370,3.8,7.5,.510,.528,2.2,2.8,.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7
Nicolas Batum,SG,29,CHO,64,64,31.0,4.2,10.2,.415,1.4,4.3,.336,2.8,5.9,.473,.486,1.7,2.0,.831,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6
Jerryd Bayless,SG,29,PHI,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474,.519,0.9,1.1,.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9
Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438,.500,2.5,3.1,.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
Bradley Beal,SG,24,WAS,82,82,36.3,8.3,18.1,.460,2.4,6.5,.375,5.9,11.6,.507,.527,3.6,4.5,.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6
Malik Beasley,SG,21,DEN,62,0,9.4,1.2,2.9,.410,0.5,1.3,.341,0.7,1.5,.469,.489,0.4,0.5,.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2
Marco Belinelli,SG,31,TOT,80,2,24.3,4.2,9.6,.441,1.9,4.9,.377,2.4,4.6,.509,.539,1.9,2.0,.908,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1
Marco Belinelli,SG,31,ATL,52,1,23.3,3.8,9.3,.410,1.8,4.8,.372,2.1,4.6,.450,.505,1.9,2.1,.927,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,11.4
Marco Belinelli,SG,31,PHI,28,1,26.3,4.9,10.0,.495,2.0,5.3,.385,2.9,4.7,.618,.597,1.7,1.9,.870,0.2,1.6,1.8,1.6,0.7,0.3,1.4,1.8,13.6
Jordan Bell,C,23,GSW,57,13,14.2,2.0,3.2,.627,0.0,0.1,.000,2.0,3.2,.641,.627,0.5,0.8,.682,1.1,2.6,3.6,1.8,0.6,1.0,0.9,1.6,4.6
Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
Khem Birch,C,25,ORL,42,0,13.8,1.6,3.0,.540,0.0,0.0,,1.6,3.0,.540,.540,1.0,1.5,.689,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2
Bismack Biyombo,C,25,ORL,82,25,18.2,2.2,4.3,.520,0.0,0.0,.000,2.2,4.3,.521,.520,1.2,1.9,.650,1.8,4.0,5.7,0.8,0.3,1.2,1.0,1.9,5.7
Tarik Black,C,26,HOU,51,2,10.5,1.5,2.5,.591,0.0,0.2,.091,1.5,2.3,.638,.594,0.6,1.2,.460,1.2,2.0,3.2,0.3,0.4,0.6,0.7,2.1,3.5
